x1,y1,z1,x2,y2,z2
1.62606,-0.801,4.74964,7.6084,26.812,2.75866
6.54501,-0.801,4.20302,2.13407,26.812,3.88737
3.46594,26.812,2.8055,5.76182,-0.801,2.63862
5.2863,-0.801,5.03381,7.38835,26.812,3.39033
2.71396,26.812,4.48287,2.39695,-0.801,2.7077
1.10236,-0.801,4.92186,2.86912,26.812,2.95114
3.36314,26.812,3.99595,6.93534,-0.801,2.6708
7.58383,-0.801,5.08688,1.93329,26.812,4.5181
3.32286,26.812,4.1792,3.30622,-0.801,3.37759
3.71452,26.812,4.76252,8.10868,-0.801,3.33362
6.61215,26.812,4.97579,5.29011,-0.801,2.75519
6.81554,-0.801,4.70385,7.54465,26.812,3.97793
1.94626,26.812,4.45381,1.04964,-0.801,3.27532
7.24065,26.812,5.07262,5.89854,-0.801,3.77183
5.76028,-0.801,4.25238,7.51829,26.812,3.31349
1.95796,26.812,4.97514,1.35348,-0.801,3.71799
2.51938,26.812,5.14523,3.20025,-0.801,3.06137
3.60751,-0.801,5.02729,1.95968,26.812,4.46516
1.41976,-0.801,4.12218,1.26177,26.812,2.84807
6.47637,-0.801,4.20863,6.00674,26.812,2.77046
2.30134,-0.801,4.63423,2.34467,26.812,3.29789
1.77404,26.812,4.74666,3.2728,-0.801,3.65306
6.0415,-0.801,4.36075,1.7859,26.812,3.14832
3.53241,-0.801,4.9133,1.06034,26.812,2.9191
5.82385,26.812,5.12699,6.67878,-0.801,4.21637
8.05308,-0.801,4.98256,6.67048,26.812,2.78563
6.22308,-0.801,4.18237,7.98991,26.812,2.6849
6.78085,26.812,4.56369,6.2843,-0.801,3.09572
8.23979,-0.801,3.99581,7.67097,26.812,2.72025
1.83201,-0.801,5.17217,3.24542,26.812,3.57181
7.95715,-0.801,3.12068,2.27255,26.812,2.7572
6.812,26.812,5.02412,6.2025,-0.801,3.47188
1.89581,-0.801,5.18405,2.30686,26.812,2.88964
6.75878,26.812,4.85421,3.31525,-0.801,3.62354
5.33832,26.812,5.15162,2.76501,-0.801,3.69764
2.93006,26.812,5.09309,6.18762,-0.801,3.7247
1.71633,-0.801,4.80153,7.80689,26.812,3.70488
5.82732,-0.801,4.43917,7.19632,26.812,2.67647
6.86656,-0.801,4.5518,6.48886,26.812,4.04214
6.16953,-0.801,3.97611,7.55507,26.812,2.87996
2.99143,26.812,4.65765,6.60445,-0.801,4.55536
2.48864,26.812,4.61635,3.53074,-0.801,4.11268
7.68579,26.812,5.09438,7.24074,-0.801,2.70035
5.37133,-0.801,4.73619,1.90252,26.812,3.55391
1.21239,26.812,4.121,8.11479,-0.801,2.9074
7.94086,26.812,4.75374,7.50414,-0.801,2.65414
2.01844,26.812,5.01436,6.33613,-0.801,4.12287
7.92155,-0.801,4.89287,1.01284,26.812,3.05167
7.99786,26.812,4.50173,6.2086,-0.801,3.53721
1.99786,-0.801,4.91054,2.18851,26.812,3.67066
2.74179,26.812,4.71593,7.97745,-0.801,2.96501
5.31946,26.812,4.32183,2.45857,-0.801,3.29326
5.74479,-0.801,4.35239,1.06672,26.812,3.21903
2.42803,-0.801,4.14062,2.80321,26.812,3.7767
2.12982,-0.801,5.06579,7.30027,26.812,4.84289
7.76242,-0.801,4.6957,5.61685,26.812,4.15301
2.36301,-0.801,4.70534,2.39383,26.812,2.78954
7.64592,26.812,4.66426,7.06805,-0.801,3.7468
2.85544,26.812,4.0511,3.4521,-0.801,3.26383
2.91191,26.812,4.8901,3.51691,-0.801,3.50557
0.954434,26.812,4.03594,5.51137,-0.801,3.33376
1.84839,-0.801,4.61177,2.49328,26.812,3.96697
3.21355,26.812,4.99438,2.8974,-0.801,3.31481
3.18975,26.812,4.32594,0.830423,-0.801,3.32679
5.64691,-0.801,5.00167,6.34868,26.812,2.74937
6.06447,26.812,4.38533,3.77938,-0.801,3.44984
1.70708,-0.801,4.1015,5.70317,26.812,3.34899
8.02808,-0.801,4.77848,5.43218,26.812,4.0988
6.68689,26.812,5.20498,2.74476,-0.801,3.13639
2.42075,-0.801,4.68006,2.26507,26.812,3.26696
3.73176,-0.801,4.90667,5.56199,26.812,3.52036
5.69492,-0.801,4.72408,6.66716,26.812,3.21691
6.65046,-0.801,4.52284,6.93704,26.812,3.98121
1.42474,-0.801,5.15634,8.13371,26.812,3.12822
1.15884,-0.801,5.18134,5.36186,26.812,4.90714
0.970274,-0.801,4.72695,0.956033,26.812,3.57129
0.972616,-0.801,3.51436,7.31576,26.812,3.13644
0.880746,-0.801,4.53221,5.47072,26.812,3.27781
7.3991,26.812,5.20948,1.72376,-0.801,5.15733
5.70829,-0.801,3.93564,7.65107,26.812,2.88844
5.34892,-0.801,3.53358,6.93742,26.812,2.80585
5.57175,26.812,5.15527,5.5815,-0.801,4.45242
6.62699,26.812,4.35797,2.46704,-0.801,3.09557
2.17809,-0.801,5.23045,2.64185,26.812,4.89475
5.85451,26.812,4.83979,6.19607,-0.801,3.30694
7.39114,-0.801,5.20111,0.995211,26.812,2.97139
6.00257,26.812,5.19935,8.00281,-0.801,2.89295
5.71736,26.812,4.35133,6.4712,-0.801,3.04001
2.57759,26.812,4.05848,7.48236,-0.801,3.01339
8.09844,26.812,5.17336,7.06196,-0.801,4.98958
2.41482,26.812,4.20348,5.22936,-0.801,3.48191
7.17089,26.812,4.4742,6.13983,-0.801,4.27184
3.27175,26.812,5.02761,2.49662,-0.801,3.66309
5.37318,-0.801,3.95222,3.37237,26.812,3.61769
7.18126,-0.801,4.63119,7.05586,26.812,4.24697
1.07372,26.812,4.31516,5.94988,-0.801,2.93548
2.41495,26.812,3.88688,8.0048,-0.801,2.70651
7.0153,-0.801,4.30712,6.24951,26.812,3.45397
6.55738,-0.801,5.0681,8.07994,26.812,2.9343
3.60133,-0.801,5.12198,7.85783,26.812,3.26435
2.16863,-0.801,4.86523,3.7467,26.812,3.31107
2.68994,-0.801,4.89837,2.832,26.812,3.02191
6.5949,-0.801,5.21166,7.67322,26.812,3.56811
6.24725,26.812,4.95589,3.53849,-0.801,2.76472
2.48343,-0.801,3.54443,2.25018,26.812,2.95352
6.95889,26.812,3.98465,6.46903,-0.801,3.45407
3.26001,26.812,3.81458,5.54395,-0.801,2.72853
1.67518,-0.801,4.46154,1.81714,26.812,3.50763
2.97939,26.812,5.09576,3.2976,-0.801,3.78398
3.18926,-0.801,4.93826,7.30983,26.812,3.56454
5.70643,26.812,4.60825,0.877679,-0.801,4.07662
2.86963,26.812,4.98509,6.0156,-0.801,4.35578
2.98384,26.812,4.8766,6.8367,-0.801,3.21505
0.963696,26.812,2.76287,6.44016,-0.801,2.66567
1.37489,26.812,3.40307,5.78729,-0.801,3.22718
2.47501,26.812,4.54088,6.66297,-0.801,2.79546
7.25196,26.812,4.7821,5.97353,-0.801,3.53791
1.35007,-0.801,5.09732,1.99916,26.812,3.18583
3.63969,-0.801,4.5377,5.30786,26.812,2.87403
7.71396,-0.801,3.00994,7.55301,26.812,2.96713
6.95557,26.812,4.41474,7.58412,-0.801,3.88536
2.35815,26.812,4.64313,6.23609,-0.801,3.07417
7.57753,26.812,4.49935,5.82417,-0.801,4.40439
2.61939,26.812,5.10199,1.53203,-0.801,3.12602
5.47957,26.812,4.7879,6.30796,-0.801,3.10499
5.30653,-0.801,4.08406,6.98026,26.812,3.43782
7.3722,26.812,4.90562,2.21473,-0.801,3.11322
7.12669,26.812,3.73597,3.41224,-0.801,2.77472
3.01148,-0.801,3.87933,2.91644,26.812,3.46621
6.02703,-0.801,4.44367,2.94774,26.812,3.06035
2.94756,-0.801,4.02671,5.89991,26.812,2.97452
3.77453,26.812,4.52328,6.8177,-0.801,4.5019
8.12927,26.812,4.24768,7.14067,-0.801,3.91185
3.46926,26.812,4.27448,3.39887,-0.801,3.10336
2.1056,26.812,5.04416,2.36064,-0.801,3.96924
7.11384,26.812,4.00864,6.16162,-0.801,3.81444
1.59929,-0.801,5.10563,5.26178,26.812,3.22941
1.54933,26.812,3.29473,2.92684,-0.801,2.76431
5.84148,26.812,5.11682,5.76172,-0.801,3.33721
5.76091,26.812,4.79605,7.21092,-0.801,2.72573
8.09302,-0.801,5.11819,2.5771,26.812,2.72469
3.79456,-0.801,3.64793,6.53288,26.812,2.99421
7.96982,-0.801,4.70188,8.20311,26.812,3.06967
5.99831,26.812,5.06478,5.67542,-0.801,3.83379
6.63696,-0.801,4.21053,5.41943,26.812,3.76585
6.69648,26.812,4.08185,6.5771,-0.801,2.65925
7.30203,26.812,4.40603,5.69864,-0.801,3.38122
7.70097,26.812,5.05163,7.04344,-0.801,3.51659
6.67777,-0.801,4.70501,6.84251,26.812,3.26434
7.01567,-0.801,3.97958,0.931983,26.812,3.33037
1.30588,-0.801,5.22391,6.30608,26.812,4.51996
1.14591,26.812,5.1442,1.89652,-0.801,3.99036
6.05367,-0.801,5.10268,7.16656,26.812,3.03596
7.75665,26.812,3.82799,5.70553,-0.801,3.19533
1.44478,-0.801,4.88594,5.72962,26.812,3.67087
7.7111,26.812,5.16126,3.19756,-0.801,4.37503
1.95397,-0.801,2.86306,1.44201,26.812,2.70001
6.71061,-0.801,4.29159,5.54183,26.812,3.31599
1.2867,26.812,4.95481,0.854157,-0.801,4.11173
3.08947,-0.801,4.65249,2.47157,26.812,2.74413
1.90884,26.812,4.77484,3.53026,-0.801,2.76865
3.5519,26.812,4.47228,6.69525,-0.801,2.69842
1.22683,-0.801,3.69096,1.87514,26.812,3.37948
6.79921,-0.801,4.57988,7.095,26.812,3.38815
1.11375,26.812,4.52399,0.812428,-0.801,4.23748
3.49457,-0.801,4.89197,5.87385,26.812,3.46799
5.3767,-0.801,5.14935,3.49644,26.812,4.40926
6.09767,26.812,4.57013,7.41744,-0.801,2.95838
5.65492,-0.801,4.64168,7.30923,26.812,4.39777
3.09877,26.812,4.80039,6.35038,-0.801,3.17893
5.62371,-0.801,3.13665,5.71687,26.812,2.70006
1.08814,26.812,4.34725,3.17427,-0.801,2.88495
8.18927,-0.801,4.86054,5.69971,26.812,2.83335
7.7345,26.812,3.86691,7.32263,-0.801,3.31286
1.02141,26.812,3.2655,2.07404,-0.801,2.66486
3.36675,26.812,4.21135,3.62951,-0.801,3.38891
6.00135,-0.801,4.65955,3.34675,26.812,4.07507
1.62734,-0.801,4.68526,6.72472,26.812,2.94185
2.92257,26.812,5.07554,7.59117,-0.801,2.64715
2.47962,26.812,4.50436,1.29947,-0.801,3.68582
5.9131,26.812,4.2219,5.87141,-0.801,3.38804
7.52325,26.812,4.2299,7.96796,-0.801,3.02293
2.29414,26.812,4.53555,6.42079,-0.801,4.06311
5.87912,26.812,3.8998,6.79402,-0.801,2.79554
5.35079,-0.801,4.03994,1.67626,26.812,3.32224
3.34962,26.812,4.60263,6.48014,-0.801,3.00776
1.85856,26.812,4.86701,0.919092,-0.801,2.95418
1.39709,-0.801,5.01054,3.62694,26.812,3.11048
5.81981,-0.801,4.90359,3.4046,26.812,2.95748
7.49684,-0.801,5.06697,8.05327,26.812,2.94578
6.08084,-0.801,4.37341,7.8406,26.812,3.22536
5.71282,26.812,3.84907,7.08837,-0.801,3.20847
1.82007,26.812,5.02694,3.7227,-0.801,4.83756
3.10004,-0.801,4.73892,7.03507,26.812,3.17721
6.41203,-0.801,4.62887,7.98357,26.812,3.52314
1.45862,-0.801,4.72112,2.82674,26.812,3.81686
3.60721,-0.801,3.78403,1.32919,26.812,2.67282
6.30693,-0.801,4.20175,2.24185,26.812,3.11754
2.61922,-0.801,4.69198,1.375,26.812,3.3042
7.03031,-0.801,5.15721,3.75151,26.812,3.05218
7.59743,-0.801,3.8838,6.12667,26.812,3.48525
7.79,26.812,5.00321,7.63373,-0.801,2.75881
7.47356,26.812,4.8691,6.86926,-0.801,4.46247
2.56134,26.812,5.18313,1.54259,-0.801,3.42488
5.3946,-0.801,5.17278,6.22776,26.812,2.79722
2.28341,-0.801,4.09881,7.24234,26.812,3.64905
7.95234,-0.801,4.81438,1.47209,26.812,3.8682
8.08415,-0.801,4.53024,3.56483,26.812,2.9632
7.75706,26.812,3.25008,8.21247,-0.801,2.76535
2.50417,26.812,4.8038,7.45719,-0.801,3.05724
5.90493,26.812,4.92016,7.08242,-0.801,3.37944
7.71678,26.812,5.16672,7.6956,-0.801,3.3943
5.71654,-0.801,4.34797,2.72053,26.812,2.65789
2.73531,-0.801,4.77031,6.80201,26.812,3.46506
3.67035,-0.801,4.86587,2.26749,26.812,3.78797
3.66316,26.812,4.72018,2.95075,-0.801,3.55781
1.05624,26.812,4.88571,6.44685,-0.801,2.86899
7.50424,26.812,4.23861,5.62527,-0.801,3.02473
6.46806,-0.801,5.07692,6.69111,26.812,3.1909
1.15074,26.812,5.0063,5.39938,-0.801,3.6091
0.884149,-0.801,4.95971,6.67854,26.812,3.3936
2.46563,26.812,4.94438,2.09302,-0.801,2.93751
5.50384,-0.801,5.19107,7.80882,26.812,2.9064
6.00332,26.812,4.6463,7.73695,-0.801,3.06696
6.41027,26.812,4.226,5.99295,-0.801,3.77369
7.20044,26.812,5.0806,1.59739,-0.801,3.60997
6.51113,26.812,4.70682,6.78523,-0.801,2.88701
3.10962,-0.801,4.29905,6.50856,26.812,2.68092
6.22683,-0.801,3.33408,7.76008,26.812,2.88216
2.27817,-0.801,4.462,5.92951,26.812,2.63209
5.87935,-0.801,4.1571,5.97138,26.812,2.83334
7.16514,-0.801,4.95106,1.83525,26.812,4.87592
1.91276,-0.801,5.22307,6.37075,26.812,3.7728
2.4413,-0.801,4.19877,5.83071,26.812,2.92136
1.09251,26.812,5.12431,6.0231,-0.801,3.77112
3.27669,26.812,3.5821,7.55652,-0.801,3.27306
3.37882,26.812,4.43488,2.52096,-0.801,3.2712
0.78612,-0.801,4.35194,0.960444,26.812,3.5926
2.2837,-0.801,3.92811,6.8108,26.812,3.37024
