,x1,y1,z1,x2,y2,z2
0,0.10871,-0.2796,14.997,10.61088,10.45806,-1.743
1,10.61088,10.45806,-1.743,0.10871,-0.2796,14.997
2,0.10871,-0.2796,14.997,11.8341,1.03286,-9.159
3,11.8341,1.03286,-9.159,0.10871,-0.2796,14.997
4,0.10871,-0.2796,14.997,0.4815,-11.78048,-9.273
5,0.4815,-11.78048,-9.273,0.10871,-0.2796,14.997
6,0.10871,-0.2796,14.997,-0.59207,3.22609,-14.637
7,-0.59207,3.22609,-14.637,0.10871,-0.2796,14.997
8,0.10871,-0.2796,14.997,4.04998,11.78099,-8.355
9,4.04998,11.78099,-8.355,0.10871,-0.2796,14.997
10,0.10871,-0.2796,14.997,-3.98983,13.77553,-4.395
11,-3.98983,13.77553,-4.395,0.10871,-0.2796,14.997
12,0.10871,-0.2796,14.997,14.18715,3.99885,-2.781
13,14.18715,3.99885,-2.781,0.10871,-0.2796,14.997
14,0.10871,-0.2796,14.997,9.08431,-7.11359,-9.585
15,9.08431,-7.11359,-9.585,0.10871,-0.2796,14.997
16,0.10871,-0.2796,14.997,3.80936,14.45523,-1.239
17,3.80936,14.45523,-1.239,0.10871,-0.2796,14.997
18,0.10871,-0.2796,14.997,4.06417,14.28495,-2.103
19,4.06417,14.28495,-2.103,0.10871,-0.2796,14.997
20,-0.46591,0.22988,14.991,10.61088,10.45806,-1.743
21,10.61088,10.45806,-1.743,-0.46591,0.22988,14.991
22,-0.46591,0.22988,14.991,11.8341,1.03286,-9.159
23,11.8341,1.03286,-9.159,-0.46591,0.22988,14.991
24,-0.46591,0.22988,14.991,0.4815,-11.78048,-9.273
25,0.4815,-11.78048,-9.273,-0.46591,0.22988,14.991
26,-0.46591,0.22988,14.991,-0.59207,3.22609,-14.637
27,-0.59207,3.22609,-14.637,-0.46591,0.22988,14.991
28,-0.46591,0.22988,14.991,4.04998,11.78099,-8.355
29,4.04998,11.78099,-8.355,-0.46591,0.22988,14.991
30,-0.46591,0.22988,14.991,-3.98983,13.77553,-4.395
31,-3.98983,13.77553,-4.395,-0.46591,0.22988,14.991
32,-0.46591,0.22988,14.991,14.18715,3.99885,-2.781
33,14.18715,3.99885,-2.781,-0.46591,0.22988,14.991
34,-0.46591,0.22988,14.991,9.08431,-7.11359,-9.585
35,9.08431,-7.11359,-9.585,-0.46591,0.22988,14.991
36,-0.46591,0.22988,14.991,3.80936,14.45523,-1.239
37,3.80936,14.45523,-1.239,-0.46591,0.22988,14.991
38,-0.46591,0.22988,14.991,4.06417,14.28495,-2.103
39,4.06417,14.28495,-2.103,-0.46591,0.22988,14.991
40,0.64392,0.18745,14.985,10.61088,10.45806,-1.743
41,10.61088,10.45806,-1.743,0.64392,0.18745,14.985
42,0.64392,0.18745,14.985,11.8341,1.03286,-9.159
43,11.8341,1.03286,-9.159,0.64392,0.18745,14.985
44,0.64392,0.18745,14.985,0.4815,-11.78048,-9.273
45,0.4815,-11.78048,-9.273,0.64392,0.18745,14.985
46,0.64392,0.18745,14.985,-0.59207,3.22609,-14.637
47,-0.59207,3.22609,-14.637,0.64392,0.18745,14.985
48,0.64392,0.18745,14.985,4.04998,11.78099,-8.355
49,4.04998,11.78099,-8.355,0.64392,0.18745,14.985
50,0.64392,0.18745,14.985,-3.98983,13.77553,-4.395
51,-3.98983,13.77553,-4.395,0.64392,0.18745,14.985
52,0.64392,0.18745,14.985,14.18715,3.99885,-2.781
53,14.18715,3.99885,-2.781,0.64392,0.18745,14.985
54,0.64392,0.18745,14.985,9.08431,-7.11359,-9.585
55,9.08431,-7.11359,-9.585,0.64392,0.18745,14.985
56,0.64392,0.18745,14.985,3.80936,14.45523,-1.239
57,3.80936,14.45523,-1.239,0.64392,0.18745,14.985
58,0.64392,0.18745,14.985,4.06417,14.28495,-2.103
59,4.06417,14.28495,-2.103,0.64392,0.18745,14.985
60,-0.41194,-0.67813,14.979,10.61088,10.45806,-1.743
61,10.61088,10.45806,-1.743,-0.41194,-0.67813,14.979
62,-0.41194,-0.67813,14.979,11.8341,1.03286,-9.159
63,11.8341,1.03286,-9.159,-0.41194,-0.67813,14.979
64,-0.41194,-0.67813,14.979,0.4815,-11.78048,-9.273
65,0.4815,-11.78048,-9.273,-0.41194,-0.67813,14.979
66,-0.41194,-0.67813,14.979,-0.59207,3.22609,-14.637
67,-0.59207,3.22609,-14.637,-0.41194,-0.67813,14.979
68,-0.41194,-0.67813,14.979,4.04998,11.78099,-8.355
69,4.04998,11.78099,-8.355,-0.41194,-0.67813,14.979
70,-0.41194,-0.67813,14.979,-3.98983,13.77553,-4.395
71,-3.98983,13.77553,-4.395,-0.41194,-0.67813,14.979
72,-0.41194,-0.67813,14.979,14.18715,3.99885,-2.781
73,14.18715,3.99885,-2.781,-0.41194,-0.67813,14.979
74,-0.41194,-0.67813,14.979,9.08431,-7.11359,-9.585
75,9.08431,-7.11359,-9.585,-0.41194,-0.67813,14.979
76,-0.41194,-0.67813,14.979,3.80936,14.45523,-1.239
77,3.80936,14.45523,-1.239,-0.41194,-0.67813,14.979
78,-0.41194,-0.67813,14.979,7.0073,13.26053,0.237
79,7.0073,13.26053,0.237,-0.41194,-0.67813,14.979
80,-0.17496,0.88242,14.973,10.61088,10.45806,-1.743
81,10.61088,10.45806,-1.743,-0.17496,0.88242,14.973
82,-0.17496,0.88242,14.973,11.8341,1.03286,-9.159
83,11.8341,1.03286,-9.159,-0.17496,0.88242,14.973
84,-0.17496,0.88242,14.973,0.4815,-11.78048,-9.273
85,0.4815,-11.78048,-9.273,-0.17496,0.88242,14.973
86,-0.17496,0.88242,14.973,-0.59207,3.22609,-14.637
87,-0.59207,3.22609,-14.637,-0.17496,0.88242,14.973
88,-0.17496,0.88242,14.973,4.04998,11.78099,-8.355
89,4.04998,11.78099,-8.355,-0.17496,0.88242,14.973
90,-0.17496,0.88242,14.973,-3.98983,13.77553,-4.395
91,-3.98983,13.77553,-4.395,-0.17496,0.88242,14.973
92,-0.17496,0.88242,14.973,14.18715,3.99885,-2.781
93,14.18715,3.99885,-2.781,-0.17496,0.88242,14.973
94,-0.17496,0.88242,14.973,9.08431,-7.11359,-9.585
95,9.08431,-7.11359,-9.585,-0.17496,0.88242,14.973
96,-0.17496,0.88242,14.973,3.80936,14.45523,-1.239
97,3.80936,14.45523,-1.239,-0.17496,0.88242,14.973
98,-0.17496,0.88242,14.973,4.06417,14.28495,-2.103
99,4.06417,14.28495,-2.103,-0.17496,0.88242,14.973
100,0.80152,-0.58862,14.967,10.61088,10.45806,-1.743
101,10.61088,10.45806,-1.743,0.80152,-0.58862,14.967
102,0.80152,-0.58862,14.967,11.8341,1.03286,-9.159
103,11.8341,1.03286,-9.159,0.80152,-0.58862,14.967
104,0.80152,-0.58862,14.967,0.4815,-11.78048,-9.273
105,0.4815,-11.78048,-9.273,0.80152,-0.58862,14.967
106,0.80152,-0.58862,14.967,-0.59207,3.22609,-14.637
107,-0.59207,3.22609,-14.637,0.80152,-0.58862,14.967
108,0.80152,-0.58862,14.967,4.04998,11.78099,-8.355
109,4.04998,11.78099,-8.355,0.80152,-0.58862,14.967
110,0.80152,-0.58862,14.967,-3.98983,13.77553,-4.395
111,-3.98983,13.77553,-4.395,0.80152,-0.58862,14.967
112,0.80152,-0.58862,14.967,14.18715,3.99885,-2.781
113,14.18715,3.99885,-2.781,0.80152,-0.58862,14.967
114,0.80152,-0.58862,14.967,9.08431,-7.11359,-9.585
115,9.08431,-7.11359,-9.585,0.80152,-0.58862,14.967
116,0.80152,-0.58862,14.967,3.80936,14.45523,-1.239
117,3.80936,14.45523,-1.239,0.80152,-0.58862,14.967
118,0.80152,-0.58862,14.967,4.06417,14.28495,-2.103
119,4.06417,14.28495,-2.103,0.80152,-0.58862,14.967
120,-1.07464,-0.11673,14.961,10.61088,10.45806,-1.743
121,10.61088,10.45806,-1.743,-1.07464,-0.11673,14.961
122,-1.07464,-0.11673,14.961,11.8341,1.03286,-9.159
123,11.8341,1.03286,-9.159,-1.07464,-0.11673,14.961
124,-1.07464,-0.11673,14.961,0.4815,-11.78048,-9.273
125,0.4815,-11.78048,-9.273,-1.07464,-0.11673,14.961
126,-1.07464,-0.11673,14.961,-0.59207,3.22609,-14.637
127,-0.59207,3.22609,-14.637,-1.07464,-0.11673,14.961
128,-1.07464,-0.11673,14.961,4.04998,11.78099,-8.355
129,4.04998,11.78099,-8.355,-1.07464,-0.11673,14.961
130,-1.07464,-0.11673,14.961,-3.98983,13.77553,-4.395
131,-3.98983,13.77553,-4.395,-1.07464,-0.11673,14.961
132,-1.07464,-0.11673,14.961,14.18715,3.99885,-2.781
133,14.18715,3.99885,-2.781,-1.07464,-0.11673,14.961
134,-1.07464,-0.11673,14.961,9.08431,-7.11359,-9.585
135,9.08431,-7.11359,-9.585,-1.07464,-0.11673,14.961
136,-1.07464,-0.11673,14.961,3.80936,14.45523,-1.239
137,3.80936,14.45523,-1.239,-1.07464,-0.11673,14.961
138,-1.07464,-0.11673,14.961,7.0073,13.26053,0.237
139,7.0073,13.26053,0.237,-1.07464,-0.11673,14.961
140,0.7664,0.87213,14.955,10.61088,10.45806,-1.743
141,10.61088,10.45806,-1.743,0.7664,0.87213,14.955
142,0.7664,0.87213,14.955,11.8341,1.03286,-9.159
143,11.8341,1.03286,-9.159,0.7664,0.87213,14.955
144,0.7664,0.87213,14.955,0.4815,-11.78048,-9.273
145,0.4815,-11.78048,-9.273,0.7664,0.87213,14.955
146,0.7664,0.87213,14.955,-0.59207,3.22609,-14.637
147,-0.59207,3.22609,-14.637,0.7664,0.87213,14.955
148,0.7664,0.87213,14.955,4.04998,11.78099,-8.355
149,4.04998,11.78099,-8.355,0.7664,0.87213,14.955
150,0.7664,0.87213,14.955,-3.98983,13.77553,-4.395
151,-3.98983,13.77553,-4.395,0.7664,0.87213,14.955
152,0.7664,0.87213,14.955,14.18715,3.99885,-2.781
153,14.18715,3.99885,-2.781,0.7664,0.87213,14.955
154,0.7664,0.87213,14.955,9.08431,-7.11359,-9.585
155,9.08431,-7.11359,-9.585,0.7664,0.87213,14.955
156,0.7664,0.87213,14.955,3.80936,14.45523,-1.239
157,3.80936,14.45523,-1.239,0.7664,0.87213,14.955
158,0.7664,0.87213,14.955,4.06417,14.28495,-2.103
159,4.06417,14.28495,-2.103,0.7664,0.87213,14.955
160,0.02554,-1.23562,14.949,10.61088,10.45806,-1.743
161,10.61088,10.45806,-1.743,0.02554,-1.23562,14.949
162,0.02554,-1.23562,14.949,11.8341,1.03286,-9.159
163,11.8341,1.03286,-9.159,0.02554,-1.23562,14.949
164,0.02554,-1.23562,14.949,0.4815,-11.78048,-9.273
165,0.4815,-11.78048,-9.273,0.02554,-1.23562,14.949
166,0.02554,-1.23562,14.949,-0.59207,3.22609,-14.637
167,-0.59207,3.22609,-14.637,0.02554,-1.23562,14.949
168,0.02554,-1.23562,14.949,4.04998,11.78099,-8.355
169,4.04998,11.78099,-8.355,0.02554,-1.23562,14.949
170,0.02554,-1.23562,14.949,-3.98983,13.77553,-4.395
171,-3.98983,13.77553,-4.395,0.02554,-1.23562,14.949
172,0.02554,-1.23562,14.949,14.18715,3.99885,-2.781
173,14.18715,3.99885,-2.781,0.02554,-1.23562,14.949
174,0.02554,-1.23562,14.949,9.08431,-7.11359,-9.585
175,9.08431,-7.11359,-9.585,0.02554,-1.23562,14.949
176,0.02554,-1.23562,14.949,3.80936,14.45523,-1.239
177,3.80936,14.45523,-1.239,0.02554,-1.23562,14.949
178,0.02554,-1.23562,14.949,7.0073,13.26053,0.237
179,7.0073,13.26053,0.237,0.02554,-1.23562,14.949
180,-0.9022,0.94488,14.943,10.61088,10.45806,-1.743
181,10.61088,10.45806,-1.743,-0.9022,0.94488,14.943
182,-0.9022,0.94488,14.943,11.8341,1.03286,-9.159
183,11.8341,1.03286,-9.159,-0.9022,0.94488,14.943
184,-0.9022,0.94488,14.943,0.4815,-11.78048,-9.273
185,0.4815,-11.78048,-9.273,-0.9022,0.94488,14.943
186,-0.9022,0.94488,14.943,-0.59207,3.22609,-14.637
187,-0.59207,3.22609,-14.637,-0.9022,0.94488,14.943
188,-0.9022,0.94488,14.943,4.04998,11.78099,-8.355
189,4.04998,11.78099,-8.355,-0.9022,0.94488,14.943
190,-0.9022,0.94488,14.943,-3.98983,13.77553,-4.395
